TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,control_block.thisRepN,control_block.thisTrialN,control_block.thisN,control_block.thisIndex,ctrl_trials.thisRepN,ctrl_trials.thisTrialN,ctrl_trials.thisN,ctrl_trials.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2.0,1.0,8.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.4052369999990333],88.29057779999857,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
2.0,1.0,8.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.3276893000002019],88.72378779999417,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
2.0,1.0,8.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
3.0,5.0,4.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,89.07375719999982,None,0.012857729991083033,None,0.49620452999079134,None,0.9755148299955181,None,['return'],[1.057848999997077],92.52364490000036,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
3.0,5.0,4.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.3267539000007673],93.60677379999834,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
3.0,5.0,4.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.34968559999833815],93.95688189999782,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
3.0,5.0,4.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
4.0,8.0,6.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,94.32337559999723,None,0.012928030002512969,None,0.4757606300045154,None,0.9593205300043337,None,['return'],[1.0165168000021367],97.76293549999536,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
4.0,8.0,6.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.3370324999996228],98.80648680000013,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
4.0,8.0,6.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.24947470000188332],99.17303859999811,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
4.0,8.0,6.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
5.0,6.0,8.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,99.43950879999466,None,0.012929229997098446,None,0.4926949299988337,None,0.9794298299966613,None,['return'],[0.5527089000024716],102.87983389999863,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
5.0,6.0,8.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.29540609999821754],103.45601909999823,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
5.0,6.0,8.0,1.0,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.24065439999685623],103.77275229999941,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
